GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Neo4j Migrations (CLI),ac.simons.neo4j.migrations.cli,ConnectedCommand,15,74,0,2,4,18,0,3,0,2
Neo4j Migrations (CLI),ac.simons.neo4j.migrations.cli,MigrationsCli,107,364,7,39,27,82,9,32,3,15
Neo4j Migrations (CLI),ac.simons.neo4j.migrations.cli,InitCommand,0,22,1,1,0,5,1,2,0,2
Neo4j Migrations (CLI),ac.simons.neo4j.migrations.cli,ManifestVersionProvider,0,10,0,0,0,2,0,2,0,2
Neo4j Migrations (CLI),ac.simons.neo4j.migrations.cli,CleanCommand,3,26,0,0,1,5,1,2,1,2
Neo4j Migrations (CLI),ac.simons.neo4j.migrations.cli,MigrateCommand,3,25,0,2,1,6,1,3,1,2
Neo4j Migrations (CLI),ac.simons.neo4j.migrations.cli,ValidateCommand,3,43,0,6,1,10,1,5,1,2
Neo4j Migrations (CLI),ac.simons.neo4j.migrations.cli,ShowCatalogCommand.Mode,0,15,0,0,0,3,0,1,0,1
Neo4j Migrations (CLI),ac.simons.neo4j.migrations.cli,MigrationsCliExceptionMapper,20,0,4,0,7,0,4,0,2,0
Neo4j Migrations (CLI),ac.simons.neo4j.migrations.cli,InfoCommand,3,21,0,0,1,5,1,2,1,2
Neo4j Migrations (CLI),ac.simons.neo4j.migrations.cli,ShowCatalogCommand,3,52,0,4,1,13,1,4,1,2
Neo4j Migrations (CLI),ac.simons.neo4j.migrations.cli.internal,MigrationsCliConsoleFormatter,0,14,0,0,0,2,0,2,0,2
Neo4j Migrations (CLI),ac.simons.neo4j.migrations.cli.internal,MigrationsCliConsoleHandler,0,15,0,0,0,8,0,3,0,3
