GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Neo4j Migrations (Annotation Processor),ac.simons.neo4j.migrations.annotations.proc.impl,CatalogGeneratingProcessor.IdPropertySelector,31,121,1,6,6,22,2,11,1,8
Neo4j Migrations (Annotation Processor),ac.simons.neo4j.migrations.annotations.proc.impl,CatalogGeneratingProcessor.PropertyTypeConstraintGenerator,14,156,4,11,2,22,7,13,3,9
Neo4j Migrations (Annotation Processor),ac.simons.neo4j.migrations.annotations.proc.impl,CatalogGeneratingProcessor.OGMIndexVisitor,0,290,0,22,0,52,0,20,0,9
Neo4j Migrations (Annotation Processor),ac.simons.neo4j.migrations.annotations.proc.impl,ElementsCatalog,2,42,1,1,1,7,1,2,0,2
Neo4j Migrations (Annotation Processor),ac.simons.neo4j.migrations.annotations.proc.impl,XMLRenderingOptionsImpl,0,22,0,0,0,8,0,4,0,4
Neo4j Migrations (Annotation Processor),ac.simons.neo4j.migrations.annotations.proc.impl,CatalogGeneratingProcessor.Mode,0,21,0,0,0,2,0,1,0,1
Neo4j Migrations (Annotation Processor),ac.simons.neo4j.migrations.annotations.proc.impl,DefaultConstraintNameGenerator,0,9,0,0,0,2,0,2,0,2
Neo4j Migrations (Annotation Processor),ac.simons.neo4j.migrations.annotations.proc.impl,CatalogGeneratingProcessor.WrappedAnnotationExtractor,33,29,0,0,11,6,11,4,11,4
Neo4j Migrations (Annotation Processor),ac.simons.neo4j.migrations.annotations.proc.impl,DefaultPropertyType,0,15,0,0,0,6,0,3,0,3
Neo4j Migrations (Annotation Processor),ac.simons.neo4j.migrations.annotations.proc.impl,Attributes,0,23,0,2,0,4,0,3,0,2
Neo4j Migrations (Annotation Processor),ac.simons.neo4j.migrations.annotations.proc.impl,DefaultIndexNameGenerator,0,9,0,0,0,2,0,2,0,2
Neo4j Migrations (Annotation Processor),ac.simons.neo4j.migrations.annotations.proc.impl,DefaultSchemaName.Target,0,21,0,0,0,2,0,1,0,1
Neo4j Migrations (Annotation Processor),ac.simons.neo4j.migrations.annotations.proc.impl,ElementsSDN6,2,96,1,1,1,13,1,2,0,2
Neo4j Migrations (Annotation Processor),ac.simons.neo4j.migrations.annotations.proc.impl,DefaultSchemaName,11,66,4,6,3,12,5,7,1,6
Neo4j Migrations (Annotation Processor),ac.simons.neo4j.migrations.annotations.proc.impl,DefaultRelationshipType,4,33,0,0,1,10,1,4,1,4
Neo4j Migrations (Annotation Processor),ac.simons.neo4j.migrations.annotations.proc.impl,CatalogGeneratingProcessor.RequiresPrimaryKeyConstraintPredicate,20,229,4,30,2,39,3,26,0,12
Neo4j Migrations (Annotation Processor),ac.simons.neo4j.migrations.annotations.proc.impl,ElementsOGM,2,180,1,1,1,22,1,2,0,2
Neo4j Migrations (Annotation Processor),ac.simons.neo4j.migrations.annotations.proc.impl,Identifiers,0,66,0,14,0,17,0,8,0,1
Neo4j Migrations (Annotation Processor),ac.simons.neo4j.migrations.annotations.proc.impl,TypesEligibleForPropertyTypeConstraints,0,124,0,0,0,26,0,3,0,3
Neo4j Migrations (Annotation Processor),ac.simons.neo4j.migrations.annotations.proc.impl,DefaultNodeType,4,34,0,0,1,10,1,4,1,4
Neo4j Migrations (Annotation Processor),ac.simons.neo4j.migrations.annotations.proc.impl,CatalogGeneratingProcessor,53,2618,30,193,10,445,29,164,0,80
Neo4j Migrations (Annotation Processor),ac.simons.neo4j.migrations.annotations.proc.impl,AbstractNameGeneratorForCatalogItems,5,43,0,0,1,8,1,1,1,1
