GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Neo4j Migrations (Core),ac.simons.neo4j.migrations.core,CatalogBasedMigration.Operation,0,49,0,0,0,7,0,7,0,7
Neo4j Migrations (Core),ac.simons.neo4j.migrations.core,CatalogBasedMigration.OperationContext,0,18,0,0,0,1,0,1,0,1
Neo4j Migrations (Core),ac.simons.neo4j.migrations.core,Migration,0,2,0,0,0,1,0,1,0,1
Neo4j Migrations (Core),ac.simons.neo4j.migrations.core,CypherResource,12,43,0,0,2,7,2,4,2,4
Neo4j Migrations (Core),ac.simons.neo4j.migrations.core,DefaultMigrationChain,0,129,1,14,0,29,1,19,0,12
Neo4j Migrations (Core),ac.simons.neo4j.migrations.core,Precondition,0,79,0,6,0,17,0,10,0,7
Neo4j Migrations (Core),ac.simons.neo4j.migrations.core,ResourceDiscoverer.new SimpleFileVisitor() {...},0,49,1,3,0,7,1,3,0,2
Neo4j Migrations (Core),ac.simons.neo4j.migrations.core,EditionPrecondition,0,81,0,2,0,17,0,9,0,8
Neo4j Migrations (Core),ac.simons.neo4j.migrations.core,DatabaseCatalog,8,127,2,12,1,27,4,14,2,9
Neo4j Migrations (Core),ac.simons.neo4j.migrations.core,ValidationResult.Outcome,0,33,0,0,0,6,0,1,0,1
Neo4j Migrations (Core),ac.simons.neo4j.migrations.core,Precondition.Type,0,53,0,4,0,13,0,6,0,4
Neo4j Migrations (Core),ac.simons.neo4j.migrations.core,CypherBasedMigration,2,120,2,8,1,35,2,11,0,8
Neo4j Migrations (Core),ac.simons.neo4j.migrations.core,LifecyclePhase,6,108,0,0,0,23,1,6,1,6
Neo4j Migrations (Core),ac.simons.neo4j.migrations.core,CatalogBasedMigration.DefaultOperationBuilder,4,116,1,3,1,28,1,11,0,10
Neo4j Migrations (Core),ac.simons.neo4j.migrations.core,IterableMigrations.DelayingIterator,3,67,0,10,2,18,0,8,0,3
Neo4j Migrations (Core),ac.simons.neo4j.migrations.core,ResourceContext,11,108,2,6,3,23,2,10,0,8
Neo4j Migrations (Core),ac.simons.neo4j.migrations.core,MigrationsLock.SummaryCountersImpl,0,83,0,4,0,3,0,5,0,3
Neo4j Migrations (Core),ac.simons.neo4j.migrations.core,CleanResult,0,106,0,4,0,23,0,11,0,9
Neo4j Migrations (Core),ac.simons.neo4j.migrations.core,Neo4jCodes,0,17,0,0,0,2,0,1,0,1
Neo4j Migrations (Core),ac.simons.neo4j.migrations.core,AbstractPrecondition,0,9,0,0,0,4,0,2,0,2
Neo4j Migrations (Core),ac.simons.neo4j.migrations.core,CatalogBasedMigration.DefaultRefactorOperation,0,17,0,0,0,4,0,2,0,2
Neo4j Migrations (Core),ac.simons.neo4j.migrations.core,MigrationChain.ChainBuilderMode,0,21,0,0,0,4,0,1,0,1
Neo4j Migrations (Core),ac.simons.neo4j.migrations.core,CatalogBasedRefactorings,18,991,10,88,5,182,10,89,0,50
Neo4j Migrations (Core),ac.simons.neo4j.migrations.core,JavaBasedMigrationDiscoverer,10,51,1,3,2,16,1,5,0,4
Neo4j Migrations (Core),ac.simons.neo4j.migrations.core,DiscoveryService,8,378,3,25,3,74,3,28,0,17
Neo4j Migrations (Core),ac.simons.neo4j.migrations.core,Defaults,0,14,0,0,0,6,0,1,0,1
Neo4j Migrations (Core),ac.simons.neo4j.migrations.core,ResourceBasedMigrationProvider,9,36,3,3,1,9,2,3,0,2
Neo4j Migrations (Core),ac.simons.neo4j.migrations.core,CypherResourceBasedMigrationProvider,2,11,0,0,1,3,1,3,1,3
